product_ean,product_description,product_image,offer_ean,offer_currency,offer_original_price,offer_new_price,offer_discount,offer_percent_discount,offer_stock,offer_stock_unit,offer_start_time,offer_end_time,offer_last_update,store_id,store_name,store_brand,store_lat,store_lng,store_street,store_city,store_zip,store_country,store_hours_today,store_hours_tomorrow
250811,FLADE RIBBEN AF GRIS,,2009896,DKK,70,30,40,57.14,0.97782,kg,2026-03-28 10:21:28,2026-03-29 21:59:59,2026-03-28 10:22:06,d6abf195-312b-4818-8933-bda8ecdd9fbd,føtex Aalborg,foetex,57.0473333,9.9242313,Slotsgade 8-14,Aalborg,9000,DK,07:00-21:00,07:00-21:00
250932,GB URTEKYLLING,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/image",2009858,DKK,59.95,30,29.95,49.96,0.977896,kg,2026-03-28 10:07:26,2026-03-29 21:59:59,2026-03-28 10:08:19,d6abf195-312b-4818-8933-bda8ecdd9fbd,føtex Aalborg,foetex,57.0473333,9.9242313,Slotsgade 8-14,Aalborg,9000,DK,07:00-21:00,07:00-21:00
252889,MØRBRAD M/KAR. GODT BEGYNDT,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/65e6c2cd4a1d3b41ff16edba5eb86b6f",2009865,DKK,89.95,45,44.95,49.97,0.979352,kg,2026-03-28 10:07:47,2026-03-29 21:59:59,2026-03-28 10:08:19,d6abf195-312b-4818-8933-bda8ecdd9fbd,føtex Aalborg,foetex,57.0473333,9.9242313,Slotsgade 8-14,Aalborg,9000,DK,07:00-21:00,07:00-21:00
254881,NAKKEFILET SLAGTEREN,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/996d9c39-196d-4083-b7c8-01ce7a38e4d3",2009889,DKK,139,70,69,49.64,0.9886,kg,2026-03-28 10:20:08,2026-03-29 21:59:59,2026-03-28 10:21:32,d6abf195-312b-4818-8933-bda8ecdd9fbd,føtex Aalborg,foetex,57.0473333,9.9242313,Slotsgade 8-14,Aalborg,9000,DK,07:00-21:00,07:00-21:00
265048,SE PRIS PÅ VARE VESTERHAVS,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/b5a783d1-934a-4fa6-806b-5d526acaf20f",2009841,DKK,275,162.25,112.75,41,0.9792190000000001,kg,2026-03-27 13:13:14,2026-04-09 21:59:59,2026-03-28 10:12:53,d6abf195-312b-4818-8933-bda8ecdd9fbd,føtex Aalborg,foetex,57.0473333,9.9242313,Slotsgade 8-14,Aalborg,9000,DK,07:00-21:00,07:00-21:00
57067636,HVIDLØGSSPEGEP 3-STJERNET,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/218900ae-8edb-4d49-9571-b85a7a7e313a",5712580532035,DKK,19.95,10,9.95,49.87,3,each,2026-03-27 11:34:12,2026-04-02 21:59:59,2026-03-28 10:12:53,d6abf195-312b-4818-8933-bda8ecdd9fbd,føtex Aalborg,foetex,57.0473333,9.9242313,Slotsgade 8-14,Aalborg,9000,DK,07:00-21:00,07:00-21:00
80894162,BURRATA ZANETTI,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/0c88f983ba02cf76011d0a55fd5f7f62",5712580531199,DKK,26.95,14,12.95,48.05,51,each,2026-03-27 06:52:53,2026-04-01 21:59:59,2026-03-27 19:58:45,d6abf195-312b-4818-8933-bda8ecdd9fbd,føtex Aalborg,foetex,57.0473333,9.9242313,Slotsgade 8-14,Aalborg,9000,DK,07:00-21:00,07:00-21:00
5708123003803,CERVELAT PØLSE L. HENRIKSEN,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/99daaae9-6d5e-44bf-afcb-7da92821f1a3",5712580528052,DKK,20.85,16,4.85,23.26,3,each,2026-03-25 13:09:01,2026-03-30 21:59:59,2026-03-27 09:57:40,d6abf195-312b-4818-8933-bda8ecdd9fbd,føtex Aalborg,foetex,57.0473333,9.9242313,Slotsgade 8-14,Aalborg,9000,DK,07:00-21:00,07:00-21:00
5712875068737,FULD. BRIOCHE PRINCIP,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/d24d5669-983b-4d40-95dc-9230437ce076",5712580531557,DKK,24.01,17,7.01,29.2,1,each,2026-03-27 10:04:23,2026-04-07 21:59:59,2026-03-27 10:04:48,d6abf195-312b-4818-8933-bda8ecdd9fbd,føtex Aalborg,foetex,57.0473333,9.9242313,Slotsgade 8-14,Aalborg,9000,DK,07:00-21:00,07:00-21:00
5712875658983,KYLLINGESKIVER SALLING,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/a9f21d336214fdd5f38d9be0b9f3b83f",5712580531953,DKK,22.09,17,5.09,23.04,3,each,2026-03-27 11:24:53,2026-03-30 21:59:59,2026-03-27 11:25:27,d6abf195-312b-4818-8933-bda8ecdd9fbd,føtex Aalborg,foetex,57.0473333,9.9242313,Slotsgade 8-14,Aalborg,9000,DK,07:00-21:00,07:00-21:00
5705333099572,HAMBURGERRYG HAMMEL,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/9590e191be214603e251c170f78b9679",5712580532028,DKK,24.09,16,8.09,33.58,7,each,2026-03-27 11:32:54,2026-04-01 21:59:59,2026-03-27 11:33:24,d6abf195-312b-4818-8933-bda8ecdd9fbd,føtex Aalborg,foetex,57.0473333,9.9242313,Slotsgade 8-14,Aalborg,9000,DK,07:00-21:00,07:00-21:00
