timestamp,query,duration_seconds,active_products_in_pool,nearby_stores,recipes_found,recipe_1_title,recipe_2_title,recipe_3_title,prompt_id,recipe_1_substitutions_made,recipe_1_candidate_eans,recipe_1_candidate_descriptions,recipe_2_substitutions_made,recipe_2_candidate_eans,recipe_2_candidate_descriptions,recipe_3_substitutions_made,recipe_3_candidate_eans,recipe_3_candidate_descriptions,location_filter_applied,dist_unit,max_dist,user_address,max_minutes,pipeline_status,failed_step
2026-05-31 18:07:14,noget nemt og hurtigt aftensmad,2.81,85,Netto Danmarksgd. Aalborg | føtex Aalborg,3,One pot med skinke og broccoli ,Aspargespande med rejer ,Hurtig kartoffelsuppe med squashbrød,few_shot,1,5712872143253 | 5707196372595 | 5712872135173,FULDK KRYDDERBO SALLING | RØGET SKINKE PÅLÆKKER | FULDKORNSSAND. SALLING,0,5712872143253 | 5712872136057,FULDK KRYDDERBO SALLING | GULERODSBOLLER SALLING,2,5712876101587 | 5712872135173,CHEDDAR SKIVER SALLING | FULDKORNSSAND. SALLING,True,min,15,Østre Havnegade 5,,success,
2026-05-31 18:10:17,noget søndagsret til at simre,2.22,85,Netto Danmarksgd. Aalborg | føtex Aalborg,3,Kalvebov med bønner og kålpølser,Gammeldags oksesteg,Sorte gryde,few_shot,2,5712872143253 | 5707196372533 | 252916 | 5701205005320,"FULDK KRYDDERBO SALLING | ROASTBEEF PÅLÆKKER | GRILLBAKKE BEN,PØLSE,KOT | FULDKORNSBOL. LEVEBRØD",0,5707196372533 | 5712872143253,ROASTBEEF PÅLÆKKER | FULDK KRYDDERBO SALLING,0,5707196372533 | 5704080960302,ROASTBEEF PÅLÆKKER | KYLLING OG OKSE 3-STJERNET,True,min,15,Østre Havnegade 5,,success,
2026-05-31 18:20:21,langtidssimreret,4.64,75,Netto Danmarksgd. Aalborg | føtex Aalborg,3,Kalvebov med bønner og kålpølser,Langtidsstegt oksemørbrad ,Oksemørbrad med pommes Anna og baconsauce,few_shot,2,5707196372533 | 252916 | 5701205005320,"ROASTBEEF PÅLÆKKER | GRILLBAKKE BEN,PØLSE,KOT | FULDKORNSBOL. LEVEBRØD",0,5704080960302 | 5707196372533,KYLLING OG OKSE 3-STJERNET | ROASTBEEF PÅLÆKKER,1,5707196372533 | 250900 | 5704080960302,ROASTBEEF PÅLÆKKER | GRILLBAKKE 2 SLAGTERMEST. | KYLLING OG OKSE 3-STJERNET,True,min,15,Østre Havnegade 5,,success,
2026-06-01 05:21:06,spaghetti carbonara,3.68,250,,3,Spaghetti Carbonara med fløde,Spaghetti og torsk med parmaskinke,"Pasta med grønt, bacon og hytteost",few_shot,2,5712878202008 | 5712876101587 | 5707196214345 | 5712874349691 | 5704000502285,PANCETTA SALLING PRIN | CHEDDAR SKIVER SALLING | BACON 5-PAK TULIP | BACONPOSTEJ SALLING | BACON-PEBER POSTEJ STRYHNS,2,5712872135173 | 5711953052064 | 5712876101587 | 5707673107276 | 5707196252767,FULDKORNSSAND. SALLING | 45+ ML M. KOM SALLING | CHEDDAR SKIVER SALLING | DANBO 45+ ML SALLING ØKO | HK GRIS/KALV VELSMAG,2,5712878202008 | 5712874349691 | 5704000502285 | 5707196214345,PANCETTA SALLING PRIN | BACONPOSTEJ SALLING | BACON-PEBER POSTEJ STRYHNS | BACON 5-PAK TULIP,False,,,,,success,
2026-06-01 05:21:56,brownie,1.89,250,,3,Brownie,Brownie med søde kartofler,Sweet potato brownie,few_shot,1,5712877055537 | 5701043001010 | 5701012523789 | 5701977002466 | 5712878239035 | 5712875381836 | 5701012408499 | 5710328002277 | 5712874603977 | 5701205001568,BUTTERDEJ NÆMT | ØKO. SMØRBAR BAKKEDAL | MØRKT RUGBRØD GAMLE MØLLE | SMØRBAR SILVER NATURLI | SOLSIKKERUGBRØD ØGO | SOLSIKKESTYKKER GAMLE MØLLE | SOLSIKKERUGBRØD GAMLE MØLLE | ØKO SMØR LØGISMOSE | KRYDDERBOLLER FK GAMLE MØLLE | DGR. SOLSIKKE DET GODE,2,42373261 | 5712878239035 | 5713307900045 | 5701246102835 | 5712874603977 | 5701205001568 | 5712878239011 | 5712872136071 | 5712874935283 | 5712874603960,MIX VAN/CHOCO MÜLLER | SOLSIKKERUGBRØD ØGO | CHIAGRØD M/ MANGO THE PROTEIN KITCHEN | SOLSIKKE KOHBERG | KRYDDERBOLLER FK GAMLE MØLLE | DGR. SOLSIKKE DET GODE | SOLSIKKERUGBRØD SALLING ØKO | KRYDDERBOLLER SALLING | SURDEJSBOLLER SALLING ØKO | KRYDDERBOLLER GAMLE MØLLE,1,5712874603977 | 5701043001010 | 5712874603960 | 5712877979406 | 5712874603953 | 5712872136071,KRYDDERBOLLER FK GAMLE MØLLE | ØKO. SMØRBAR BAKKEDAL | KRYDDERBOLLER GAMLE MØLLE | FLAMMKUCHEN SALLING | GULERODSBOLLER GAMLE MØLLE | KRYDDERBOLLER SALLING,False,,,,,success,
2026-06-01 05:22:17,tomatsuppe,3.51,250,,3,Tomatsuppe med kylling og grillet peberfrugt,Hurtig tomatsuppe med kylling og spidskål,Krabbesuppe af egen fangst ,few_shot,2,5707196357332 | 5704080960333 | 5712872135173,SAN. KYL. TOMAT PÅLÆKKER | KYL.BRYST T. 1H 3 STJERNET | FULDKORNSSAND. SALLING,2,5707196357332 | 5712872135173 | 5704080960333 | 5712877263307 | 5712878118514,SAN. KYL. TOMAT PÅLÆKKER | FULDKORNSSAND. SALLING | KYL.BRYST T. 1H 3 STJERNET | RUNDE HVEDESTYK SALLING | MIDDELHAVSBRØD SALLING PRIN,3,5704000521057 | 5707196357332 | 5712873949342 | 5711953140334 | 5712872135173 | 5710328002277 | 5701205010096,KRABBESALAT SØNDER FRIST | SAN. KYL. TOMAT PÅLÆKKER | FULDK. PIZZADEJ SALLING | REJER BUKO | FULDKORNSSAND. SALLING | ØKO SMØR LØGISMOSE | SANDWICH RUGBRØ LEVEBRØD,False,,,,,success,
2026-06-01 05:23:23,spaghetti carbonara,3.28,250,,3,Spaghetti Carbonara med fløde,Spaghetti og torsk med parmaskinke,"Pasta med grønt, bacon og hytteost",chain_of_thought,2,5712878202008 | 5712876101587 | 5707196214345 | 5712874349691 | 5704000502285,PANCETTA SALLING PRIN | CHEDDAR SKIVER SALLING | BACON 5-PAK TULIP | BACONPOSTEJ SALLING | BACON-PEBER POSTEJ STRYHNS,2,5712872135173 | 5711953052064 | 5712876101587 | 5707673107276 | 5707196252767,FULDKORNSSAND. SALLING | 45+ ML M. KOM SALLING | CHEDDAR SKIVER SALLING | DANBO 45+ ML SALLING ØKO | HK GRIS/KALV VELSMAG,1,5712878202008 | 5712874349691 | 5704000502285 | 5707196214345,PANCETTA SALLING PRIN | BACONPOSTEJ SALLING | BACON-PEBER POSTEJ STRYHNS | BACON 5-PAK TULIP,False,,,,,success,
2026-06-01 05:23:46,brownie,2.54,250,,3,Brownie,Brownie med søde kartofler,Sweet potato brownie,chain_of_thought,1,5712877055537 | 5701043001010 | 5701012523789 | 5701977002466 | 5712878239035 | 5712875381836 | 5701012408499 | 5710328002277 | 5712874603977 | 5701205001568,BUTTERDEJ NÆMT | ØKO. SMØRBAR BAKKEDAL | MØRKT RUGBRØD GAMLE MØLLE | SMØRBAR SILVER NATURLI | SOLSIKKERUGBRØD ØGO | SOLSIKKESTYKKER GAMLE MØLLE | SOLSIKKERUGBRØD GAMLE MØLLE | ØKO SMØR LØGISMOSE | KRYDDERBOLLER FK GAMLE MØLLE | DGR. SOLSIKKE DET GODE,2,42373261 | 5712878239035 | 5713307900045 | 5701246102835 | 5712874603977 | 5701205001568 | 5712878239011 | 5712872136071 | 5712874935283 | 5712874603960,MIX VAN/CHOCO MÜLLER | SOLSIKKERUGBRØD ØGO | CHIAGRØD M/ MANGO THE PROTEIN KITCHEN | SOLSIKKE KOHBERG | KRYDDERBOLLER FK GAMLE MØLLE | DGR. SOLSIKKE DET GODE | SOLSIKKERUGBRØD SALLING ØKO | KRYDDERBOLLER SALLING | SURDEJSBOLLER SALLING ØKO | KRYDDERBOLLER GAMLE MØLLE,1,5712874603977 | 5701043001010 | 5712874603960 | 5712877979406 | 5712874603953 | 5712872136071,KRYDDERBOLLER FK GAMLE MØLLE | ØKO. SMØRBAR BAKKEDAL | KRYDDERBOLLER GAMLE MØLLE | FLAMMKUCHEN SALLING | GULERODSBOLLER GAMLE MØLLE | KRYDDERBOLLER SALLING,False,,,,,success,
2026-06-01 05:24:05,tomatsuppe,3.44,250,,3,Tomatsuppe med kylling og grillet peberfrugt,Hurtig tomatsuppe med kylling og spidskål,Krabbesuppe af egen fangst ,chain_of_thought,2,5707196357332 | 5704080960333 | 5712872135173,SAN. KYL. TOMAT PÅLÆKKER | KYL.BRYST T. 1H 3 STJERNET | FULDKORNSSAND. SALLING,2,5707196357332 | 5712872135173 | 5704080960333 | 5712877263307 | 5712878118514,SAN. KYL. TOMAT PÅLÆKKER | FULDKORNSSAND. SALLING | KYL.BRYST T. 1H 3 STJERNET | RUNDE HVEDESTYK SALLING | MIDDELHAVSBRØD SALLING PRIN,2,5704000521057 | 5707196357332 | 5712873949342 | 5712872135173 | 5701205010096,KRABBESALAT SØNDER FRIST | SAN. KYL. TOMAT PÅLÆKKER | FULDK. PIZZADEJ SALLING | FULDKORNSSAND. SALLING | SANDWICH RUGBRØ LEVEBRØD,False,,,,,success,
2026-06-01 05:25:10,spaghetti carbonara,3.27,250,,3,Spaghetti Carbonara med fløde,Spaghetti og torsk med parmaskinke,"Pasta med grønt, bacon og hytteost",default,2,5712878202008 | 5712876101587 | 5707196214345 | 5712874349691 | 5704000502285,PANCETTA SALLING PRIN | CHEDDAR SKIVER SALLING | BACON 5-PAK TULIP | BACONPOSTEJ SALLING | BACON-PEBER POSTEJ STRYHNS,2,5712872135173 | 5711953052064 | 5712876101587 | 5707673107276 | 5707196252767,FULDKORNSSAND. SALLING | 45+ ML M. KOM SALLING | CHEDDAR SKIVER SALLING | DANBO 45+ ML SALLING ØKO | HK GRIS/KALV VELSMAG,1,5712878202008 | 5712874349691 | 5704000502285 | 5707196214345,PANCETTA SALLING PRIN | BACONPOSTEJ SALLING | BACON-PEBER POSTEJ STRYHNS | BACON 5-PAK TULIP,False,,,,,success,
